row_index,id,file_name,source_dataset,task,output,valid_token_count,fbank_frames_before_pad
27,1d8220c1-f1dd-44b6-89a6-8f73c01aefb3,192125.flac,iNaturalist,species-sci-detection-hard,Porzana porzana,321,632
28,75cd84ad-8c2c-4333-88c9-7327f5e3bf23,XC420018-Common%20Bulbul%20on%202.9.17%20at%20Twinga%20Lodge%20TZ%20at%207.10%20for%20.10%20_0448.flac,Xeno-canto,species-common-detection-random,None,505,998
29,eeb57353-2d95-488d-af35-add7e1716977,XC282848-HETH_3-4-15_1330_MtOrd1.flac,Xeno-canto,species-common-classification-context,Hermit Thrush,105,195
30,8798231a-34af-4290-b188-7ddff7e20192,126066.flac,iNaturalist,family-detection,Passerellidae,153,292
31,ff86a050-6731-45f6-b0df-0d4be52cd0d8,XC473849-Prinia_socialis_nom-FL%20calls%20Above%20Munnar%204Feb16%208.40am%20LS119888a.flac,Xeno-canto,species-sci-classification-context,Prinia socialis,505,998
32,c91eeae1-4c7c-4d46-bf6a-b81bf31ae996,513777.flac,WavCaps,wavcaps-qa,Searching for candies.,209,408
33,6fada358-92cd-4951-bf39-973c259f45e1,7801800C.flac,Watkins,species-common-classification-context,Bowhead Whale,145,273
34,04092021-10de-4665-8246-c41d4c842ae9,XC426300-Limpkin%20Corkscrew%20B%2012-21-17.flac,Xeno-canto,species-common-classification-context,Limpkin,505,998
35,a195c3dd-a998-41d3-b4a8-6cda1e490504,Brown_Lory_Nimbokrang_2009-07-12.flac,Xeno-canto,caption-scientific-rich,Sound of a chalcopsitta duivenbodei with background sounds from aceros plicatus.,505,998
36,a4cde161-5f7d-46b0-815d-a5e906e24984,598299.flac,iNaturalist,family-classification,Hylidae,505,998
37,94635d4d-9fc1-4914-a6c7-2f5f7b03f1e0,172953.flac,iNaturalist,species-sci-classification-context,Erithacus rubecula,417,832
38,cb3a6d2d-fb28-4c97-bca8-4f9b108de2f2,79776.flac,iNaturalist,species-sci-classification,Leiothlypis celata,505,998
39,d461f4d6-1645-4ea6-a593-3aec461ed21d,XC563725-PROW%20%28M2%29%20-%20Song%20-%20Les%20Arends%20-%202020-05-31%2006_48.flac,Xeno-canto,species-sci-options-classification,Protonotaria citrea,505,998
40,878a679a-f3c4-4277-aae3-b31c9a59c959,XC714401-Grey-winged%20Blackbird%20female%20Call.flac,Xeno-canto,species-sci-detection-random,Turdus boulboul,505,998
41,f939687a-741c-44f2-b128-f146b4fa529b,XC308832-westMexicanChachalaca-Col-Mx150809.flac,Xeno-canto,taxonomic-classification,Chordata Aves Galliformes Cracidae Ortalis poliocephala,505,998
42,fa147d6d-55ca-4786-8269-3a37cb17ce28,XC625226-Carrion%20Crow%200649.flac,Xeno-canto,family-classification,Corvidae,281,548
43,64b22456-5987-405b-a70e-7acd9c8604c9,20090914_WayKambas_BandedPitta_song.flac,Xeno-canto,species-sci-options-classification,Hydrornis irena,505,998
44,2c99f75f-28e7-4df9-b7eb-5ca44807bedd,XC193967-THRUSH_Swainson%27s_c%20ustulatus%20Fish%20Creek%2C%20Hyder%20AK%20062314%201438.flac,Xeno-canto,animal-instruct,A call note,505,998
45,28da31b7-3b02-4799-a4d5-4d22351dc633,XC510628-Cranioleuca%20sulphurea_Rio%20Grande_1164.flac,Xeno-canto,call-type,song,505,998
46,9c91916b-7620-42c6-a2b4-8da3f3bcf140,XC210152-Corythopis_delalandi_14_12_2014_Amparo_SP_RSS.flac,Xeno-canto,taxonomic-detection,None,505,998
47,c0265934-ab70-410e-a560-21f91e93e762,XC543571-Mino%20kreffti%20kreffti_pcm_191013_06.flac,Xeno-canto,family-classification,Sturnidae,505,998
48,a32a40cb-43da-4114-9668-455fc632df45,XC226630-Long-billed%20Woodcreeper%20%206212.flac,Xeno-canto,genus-classification,Nasica,505,998
49,823eb09a-bc66-4ab4-ae43-ec1e805e341b,SSW_070_20170401_100007Z.059_004.wav,NatureLM,species-sci-options-detection,Corvus brachyrhynchos,505,998
50,99c07b43-3676-4c79-90cb-1c98d412bcca,83084.flac,iNaturalist,species-sci-classification-context,Pelophylax perezi,505,998
51,f2650314-83b4-4e4b-a1f1-f93edd739272,SgriseicollisLepipuertoMD5track30.flac,Xeno-canto,caption-scientific-simple,Song of a scytalopus griseicollis gilesi,441,879
52,39c8e491-e1d9-4ab0-97e7-74067bf186b4,259389.flac,iNaturalist,family-detection,None,505,998
53,1b4e638a-ef28-406c-933d-83aacd20fdfd,XC137559-Cyanomitra_cyanolaema_130404_06.flac,Xeno-canto,taxonomic-detection,None,505,998
54,68df0cb0-a0af-45df-9066-d7d9424040a9,THRUSH%20Slaty%20%28Andean%29_08_Acambuco_Salta_AR_8OCT05_B%20Lopez-Lanus%20%28BLL%20et%20al%202007%29.flac,Xeno-canto,species-common-multiple-detection,Andean Slaty Thrush,505,998
55,777045eb-b58b-4bc6-a9ba-900580ff5387,2411%2F15.flac,Xeno-canto,taxonomic-detection,None,505,998
56,1104888f-75ba-4676-b2f3-7095f601daef,XC740599-ziegenm0439.flac,Xeno-canto,taxonomic-classification,Chordata Aves Caprimulgiformes Caprimulgidae Caprimulgus europaeus,505,998
57,bf372c58-e740-4020-a974-80d3865f9a60,CARDINAL%20Yellow-billed_05_Otamendi_Campana_Buenos%20Aires_AR_22NOV01_Bernabe%20Lopez-Lanus.flac,Xeno-canto,family-classification,Thraupidae,257,497
58,ea4a5b95-6574-468a-8c16-7df995c2ec25,XC413916-RedBelliedPitta_Talaud_072217_song.flac,Xeno-canto,caption-common,Song of a philippine pitta,505,998
59,ccb717f9-b508-4e72-a149-36bfa38d9f13,541272.flac,WavCaps,caption-general-domain,Trainers inside a washing machine are making noise for a full cycle.,505,998
60,d92bc3a1-d8f7-439c-a0c3-2ab375d2c753,2836_5355_000026_0000002.wav,NatureLM,speech_nspeakers,2,257,507
61,6cbd2eb7-b791-452c-95d5-750947a379bd,27686.flac,iNaturalist,species-taxonomic-classification-context,Chordata Aves Gruiformes Aramidae Aramus guarauna,281,559
62,afb37eee-ce7c-4964-9b19-86b9b477797a,A%20Buchfink%20C.flac,Xeno-canto,taxonomic-detection,Chordata Aves Passeriformes Fringillidae Fringilla coelebs,505,998
63,eb6d9779-2525-4889-8e90-fef798a9e447,XC585592-200829_2330a.flac,Xeno-canto,caption-scientific-rich,"Call, and nocturnal flight call of a tyto alba",457,898
64,26df3063-fe3c-48d5-9f5b-f1cdd1c39ddd,XC273712-Lance-tailed%20Manakin%20call.flac,Xeno-canto,species-common-detection-hard,None,505,998
65,e9077a18-b2ee-444e-b7ce-d9ce1a4344fd,XC427482-Hylocharis%20sapphirina%20CONFIRMAR-Caio%20Brito-%28Porto%20Seguro-BA%29-BRITO2813.flac,Xeno-canto,species-sci-classification-context,Hylocharis sapphirina,329,643
66,dfa945a5-d725-4213-8024-e95444d30022,SSW_131_20170506_160014Z.056_012.wav,NatureLM,species-sci-simple-detection,"Spinus tristis, Cardinalis cardinalis",153,298
67,724ad83d-b8bf-40b4-8871-a63ef9997a2d,80951.flac,iNaturalist,taxonomic-detection,Chordata Aves Passeriformes Parulidae Icteria virens,505,998
68,22d963f6-b54e-4af3-af09-f900ef4999a3,498419.flac,iNaturalist,species-sci-classification,Lanius collurio,505,998
69,f2b30269-44ca-4699-a140-8dd03cec428d,XC346690-LS102883%20Pied%20Kingfisher%20call%20B.flac,Xeno-canto,species-common-detection-hard,None,505,998
70,c83f22a7-fcf1-4fae-be2b-63a0e713fef5,XC703174-DUFL_2021-06-04_Surveyor_Campground_Klamath_County_OR_0834.flac,Xeno-canto,lifestage,adult,505,998
71,64fee962-59fe-4b32-a996-53a8f0a500b0,XC256074-THRASHE_Cur-bil_c_dawn%20OPCNM%20500m%20082012%200531.flac,Xeno-canto,call-type,call,505,998
72,767551e6-6aee-488f-b86a-934001633d21,XC684441-Cape%20Batis%204%20note%20call.flac,Xeno-canto,species-common-classification-context,Cape Batis,505,998
73,f65f769a-7e0f-4a8f-b4c5-407c13a0f3df,XC276215-Muscigralla_brevicauda54cut2A.flac,Xeno-canto,species-common-detection-random,None,505,998
74,0f5c174e-631e-443c-b669-913d7a104b82,413492.flac,WavCaps,caption-general-domain,Steps on snow.,505,998
75,e3017e9b-8dde-411e-9379-397d61190dfa,XC280005-LS_56546%20FALSE%20BAY%20AREA%20Scarlet-chested%20Sunbird%20call%20A.flac,Xeno-canto,species-common-multiple-detection,Scarlet-chested Sunbird,505,998
76,a012a70a-7061-4d78-99d2-95bfe85811eb,519647.flac,iNaturalist,species-sci-classification-context,Dryocopus martius,385,762
77,d8591970-8835-4997-a360-34765d5f69bf,XC428511-Campylorhamphus%20falcularius3.flac,Xeno-canto,species-sci-detection-hard,Campylorhamphus falcularius,505,998
78,22d30df2-b2ec-4bb6-94ed-143303dce57e,631192.flac,iNaturalist,family-detection,Tyrannidae,505,998
79,45b9c5c2-0617-4b49-845c-ba57e4de9d37,XC698221-RECAV0_210507_1017_lim026_alarme.flac,Xeno-canto,family-classification,Recurvirostridae,505,998
80,b93a5062-b645-4972-afa0-64f8b52eaf7b,46680.flac,iNaturalist,species-common-multiple-detection,Common Chiffchaff,505,998
81,f73d5b6c-4e75-4706-8879-10efb3f9dd6d,XC590985-Megascops%20roraimae%20MNML%20092020.flac,Xeno-canto,family-classification,Strigidae,505,998
82,3c561d9f-faeb-4095-a8df-db39c9f90e29,2413%2F27.flac,Xeno-canto,species-taxonomic-classification-context,Chordata Aves Passeriformes Tyrannidae Myiotheretes striaticollis,505,998
83,5ff1b801-99e2-4468-8d1a-003bc3b04b9b,XC304310-Coppersmith%20Barbet.flac,Xeno-canto,species-common-classification,Coppersmith Barbet,505,998
84,55b259de-bb5a-430f-b244-4074b68ab8e8,Yyy2Msyv3j5Q.flac,WavCaps,wavcaps-qa,"Cheering, crowd noise, a man speaking, laughter, whoops, and music",505,998
85,95ee6b95-ab25-4dea-9368-291d38239041,XC499085-190917-100410alveolacinzenta.flac,Xeno-canto,caption-scientific-rich,"Song, call, and flight call of a motacilla cinerea with background sounds from picus sharpei, passer domesticus.",505,998
86,95692cfb-15bf-4154-972c-e5b56cd998d3,650032.flac,iNaturalist,species-sci-detection-hard,Turdus merula,505,998
87,d2e93f15-608a-4d0a-95c5-fe87761ced2d,XC139158-Northern%20Puffback%20Manegusha.flac,Xeno-canto,taxonomic-classification,Chordata Aves Passeriformes Malaconotidae Dryoscopus gambensis,505,998
88,44931f2b-2ab3-4914-8242-05d44c65b572,83_11691_000076_0000044.wav,NatureLM,speech_nspeakers,4,505,998
89,ce541065-12f5-4555-ad32-64dcb6a2cbd9,XC538724-Indian%20pitta.flac,Xeno-canto,species-taxonomic-classification-context,Chordata Aves Passeriformes Pittidae Pitta brachyura,505,998
90,880d47c7-4327-42c4-a423-4b34ab155b4b,133566.flac,iNaturalist,species-common-classification,Garden Warbler,505,998
91,5746276e-db0b-49eb-8508-ac908d8e3677,XC133023-2006022014_Cuculus%20clamosus_Nysvli_F%20DEROUSSEN.flac,Xeno-canto,caption-scientific-simple,Song of a cuculus clamosus,505,998
92,58256ccf-1484-4797-acd3-15a9751cc3d9,XC157730-Gampsorhynchus-rufulus-FL%20response%20Chidu%20area%2C%20Mishmi%20%207Apr13%207.33am%20LS113820.flac,Xeno-canto,species-common-options-classification,White-hooded Babbler,505,998
93,9d183521-c0ab-445b-941e-add62ef1a4bb,40452.flac,iNaturalist,taxonomic-detection,Chordata Aves Passeriformes Pnoepygidae Pnoepyga formosana,505,998
94,831a5856-1d86-4990-b6d0-4647d9d4bbe4,XC218938-Chestnut-fronted%20Macaw%20B%202035.flac,Xeno-canto,caption-common-simple,"Call, and calls of a chestnut-fronted macaw",505,998
95,cb524d84-593e-4d3b-b733-d8b747ce513c,XC760819-201016_0034-Vattenrall-kattuggla.flac,Xeno-canto,species-common-options-classification,Water Rail,505,998
96,57ccbcb8-2320-49db-b21a-1b75139f3ee9,115565.flac,iNaturalist,species-common-multiple-detection,Winter Wren,505,998
97,8bec7a0c-beaf-4a10-adb4-567825faa1cf,XC664893-9%20Saborta%20Warning.flac,Xeno-canto,caption-scientific-structured,Alarm call of a calendulauda sabota sex: undetermined. life stage: adult with background sounds from pycnonotus nigricans.,505,998
98,768010b4-e17e-48d6-8a0f-02736799380d,XC561638-cho%20hul%20femelle2.flac,Xeno-canto,taxonomic-detection,Chordata Aves Strigiformes Strigidae Strix aluco,505,998
99,098334ce-c397-4222-8296-8ffca7fae437,194139.flac,iNaturalist,species-common-options-classification,Indigo Bunting,505,998
100,dfd6cbf9-31a5-4bb6-b123-9f59b3ff4daa,SSW_118_20170429_220023Z.001_008.wav,NatureLM,species-common-options-detection,None,153,298
101,3cb08433-cebb-4c98-898b-80e54ecb219f,32802.flac,iNaturalist,genus-classification,Junco,505,998
102,938bd247-c632-47bd-bbe2-f00ed2e54ea8,Serinus_mozambicus_barbatus_20100701_zang_Lake_Bunyonyi_OEG_LS100329egg-z.flac,Xeno-canto,species-sci-detection-random,None,505,998
103,0f9889a9-b9a6-4e30-8b08-d0242da6a515,410922.flac,iNaturalist,species-sci-classification,Troglodytes aedon,281,557
104,137895f2-c6ee-406a-9eb4-40e40df36b48,XC413503-Surucua%20variado3%20%28Trogon%20surrucura-OK-OK%29.flac,Xeno-canto,species-common-multiple-detection,"Surucua Trogon, Great Kiskadee",505,998
105,547a075d-83d1-4019-8116-45f9dcc43c5e,XC422294-Blue-banded%20en%20Blue-headed%20Pitta%202%20260218%20Danum.flac,Xeno-canto,species-common-detection-random,None,505,998
106,bdc650b9-36d5-47ed-824c-13cca43302ff,SSW_154_20170513_190014Z.028_017.wav,NatureLM,species-common-options-detection,None,153,298
107,6e6fd995-7fe2-447c-8162-1dc4f2f22e6a,XC699785-29-01-2022%206e24%20Pomba%20asa%20branca%20CARAIBAS.flac,Xeno-canto,taxonomic-detection,Chordata Aves Columbiformes Columbidae Patagioenas picazuro,505,998
108,c99b124b-07b7-4093-a90b-ffdd2c65a727,684349.flac,iNaturalist,caption-common,The sound of a Rose-breasted Grosbeak high up in the canopy of an elm tree.,505,998
109,20ba605b-ee08-422c-ba42-f5dcc27d0a22,XC228328-Summer%20Tanager%20A%2015074.flac,Xeno-canto,taxonomic-detection,None,505,998
110,5e87f433-d182-4e50-9aa9-27922cdcbfd2,XC374312-rossignol%20philomele%20tarerach%2066%20not%20seen%20A.flac,Xeno-canto,caption-common,Song of a common nightingale with background sounds from common cuckoo.,505,998
111,58d9139e-0f1e-463a-bdf7-0be4801378fd,XC784638-fou-mac-ENC-kerlidic-220123.flac,Xeno-canto,caption-scientific-structured,Nocturnal flight call of a fulica atra sex: undetermined. life stage: adult.,401,792
112,76dd7bc3-8435-48c0-9f78-d0a3ab3b5b10,YDTngmSh5wnI.wav,NatureLM,open-ended question,"The children’s shouting suggests a playful or excitement element, indicating the setting is family-friendly and further enhances the lively atmosphere.",505,998
113,2c3c454c-0b4e-46df-92f6-e31c1ddc72e1,XC557317-BlackThroatedGreen.flac,Xeno-canto,species-sci-classification,Setophaga virens,505,998
114,9b448211-8049-4506-9419-b87c7eb56679,145647.flac,iNaturalist,family-classification,Strigidae,505,998
115,61b544a0-e4aa-4ae3-b37c-d5f4dab651ec,XC498630-GRACKLE_Gre-tai%20Tepic%20900m%20042519%200707.flac,Xeno-canto,taxonomic-classification,Chordata Aves Passeriformes Icteridae Quiscalus mexicanus,505,998
116,93113a3a-def3-467f-a6a8-0aea0e83c63e,XC614959-Pipit%20de%20Richard%20Carolles%2012%20nov%2019.flac,Xeno-canto,species-sci-options-classification,Anthus richardi,129,244
117,24b8e155-3f39-4502-8d6c-ae5b54479f95,XC510190-LS_58313%20Hildebrandt%27s%20Starling%20predawn%20song%20B%20Superb%20Starling%20C%20Slender-tailed%20Nightjar%20C.flac,Xeno-canto,species-common-multiple-detection,Hildebrandt's Starling,505,998
118,aaa9904c-848a-4384-87b1-240b3b528125,121638.flac,iNaturalist,species-taxonomic-classification-context,Chordata Aves Accipitriformes Accipitridae Buteo jamaicensis,505,998
119,1be2c6f6-d8c9-4f70-92e4-b56e5cdea7f0,252028.flac,iNaturalist,species-taxonomic-classification-context,Chordata Aves Passeriformes Turdidae Catharus ustulatus,177,347
120,0de51500-38b0-4fba-91d8-4197b88be5c0,XC268851-carduelis%20carduelis%202%20parque%20alamillo%2010-05-2015.flac,Xeno-canto,taxonomic-detection,None,505,998
121,e5e7833a-1fb9-40f5-a213-ca0cd70e516e,51356.flac,iNaturalist,family-classification,Meliphagidae,505,998
122,c9baa9ca-fe4c-47a6-914f-639f436c7bfb,SSW_110_20170429_110008Z.012_001.wav,NatureLM,species-common-options-detection,Northern Cardinal,505,998
123,c51efe87-1e37-4b67-9577-fdc4f81e35dc,COOT%20Red-gartered_02_La%20Verdosa_25%20de%20Mayo_Buenos%20Aires_AR_20OCT01_Bernabe%20Lopez-Lanus.flac,Xeno-canto,genus-detection,None,369,729
124,93c18450-b237-4c1a-86b8-f3f083500889,151117.flac,iNaturalist,species-common-options-classification,Tufted Titmouse,505,998
125,6abc42ac-bced-4f8e-bc1b-15d06257a15c,453053.flac,WavCaps,caption-general-domain,An iPhone is vibrating.,353,693
126,259b6cdc-b252-4618-b2dd-2002b3a00c2b,411097.flac,iNaturalist,species-taxonomic-classification-context,Chordata Aves Passeriformes Menuridae Menura novaehollandiae,505,998
127,3afa59d0-3f62-4840-8d8b-166a12870993,XC424030-Myiarchus%20tuberculifer%20R%20Bellavista%2012%2006%202017%203%2055%20pm.flac,Xeno-canto,species-taxonomic-classification-context,Chordata Aves Passeriformes Tyrannidae Myiarchus tuberculifer,505,998
128,f36d9ee1-b897-4137-91f7-bdf664bc16f7,ICLISTENHF1251_20140904T175409.262Z_038.wav,NatureLM,,None,505,998
129,b5f12d26-7328-4f78-b2a5-a3f7a363e89f,XC465758-R37_0108%20Coraya%20Wren.flac,Xeno-canto,species-sci-classification-context,Pheugopedius coraya,505,998
130,ad0c2a47-07f3-4f39-93e4-184b117456c3,XC426860-LS108242%20Black-crested%20Bulbul%20song%20B.flac,Xeno-canto,species-sci-detection-random,Rubigula flaviventris,505,998
131,0881cd4e-e788-4668-b4b3-a8dce94f0306,156708.flac,iNaturalist,species-sci-classification-context,Pomatorhinus musicus,505,998
132,e5e0eb45-0623-43f2-9fc6-fdffffdcea69,XC390467-White-throated%20Laughingthrush%2001%20-%2015Dec16%20-%20Sigri%20-%201109.flac,Xeno-canto,genus-classification,Garrulax,505,998
133,1a705b9e-4b45-4fc0-9ca9-0dc306e7e1e8,SALTATOR%20Golden-billed_17_Putre_I%20Region_CH_4NOV99_Alvaro%20Jaramillo.flac,Xeno-canto,call-type-with-common-name,song,505,998
134,a50d1daf-2f9a-4f8a-822f-51ad13bbadb4,YIA3Um5JtMqU.wav,NatureLM,open-ended question,"The presence of bees and other insects suggests a buzzing, active environment, potentially near a hive or flower-rich area.",481,945
135,f56125d7-e8ff-429a-887a-cf6cc7717b3a,XC277200-PODCRI10h40m35s23jul2015%20%282%29.flac,Xeno-canto,species-sci-detection-hard,Podiceps cristatus,505,998
136,1bff0b95-7210-4a2d-b0f4-8269923f8144,XC504170-26-10-19%2000.07%20Gru%20sopra%20casa%20%28online-audio-converter.com%29.flac,Xeno-canto,species-sci-classification,Grus grus,505,998
137,c5a97ecb-3eb2-41e8-82fd-ffd90d062fd7,XC684562-vite-vite-de-cabe%C3%A7a-cinza.flac,Xeno-canto,call-type,"song, call",505,998
138,9c65b9d3-98d4-4d13-a705-94529a1c3241,ICLISTENHF1251_20140404T200459.775Z_051.wav,NatureLM,,None,505,998
139,09f37e69-9a9c-416b-9c44-86358a8ac40d,XC314241-Unknown%20-%20poss%20gw.flac,Xeno-canto,caption-scientific-simple,Song of a sylvia borin,505,998
140,6754e8a8-358b-4094-8b60-c013fa7fa5d8,XC773008-170519_01-Buskskv%C3%A4tta-s%C3%A5ngl%C3%A4rka.flac,Xeno-canto,taxonomic-detection,None,505,998
141,4031dcbb-cf15-4625-8794-0a18eba07430,110409.flac,iNaturalist,species-common-classification-context,Gray Catbird,505,998
142,f86852f7-a734-4245-a146-857bac1d5a7d,32073.flac,iNaturalist,family-classification,Picidae,505,998
143,d67a295c-5acf-455b-9e1f-2e7e9b8751f7,XC336055-160409-191944_Cyanistes%20teneriffae%20teneriffae_R.flac,Xeno-canto,genus-classification,Cyanistes,505,998
144,4bfa106e-19e4-4a55-bee6-bccdae6395f2,XC762905-LS_51891-Common-Newtonia-song-A.flac,Xeno-canto,species-sci-options-classification,Newtonia brunneicauda,505,998
145,b7f488dd-4a90-46eb-8d15-2e26c469c741,XC646539-Guira%20guira%20Maceio%20AL%20Ilha%20do%20Lisboa%205%20May%202021%20RSS.flac,Xeno-canto,taxonomic-detection,None,505,998
146,c5fd87a3-5302-492d-bdd6-b742b5cb396b,XC525575-x_IAvH-CSA-5771.flac,Xeno-canto,species-common-classification-context,Great Jacamar,505,998
147,ae52ec88-e2b5-4711-946a-a4cfefdb67c0,373451.flac,iNaturalist,species-sci-detection-random,Gallinula chloropus,505,998
148,38b5e494-6ef7-45a6-8bc6-d889803c202f,XC567554-Cannaiola%20verdognola1.flac,Xeno-canto,caption-common-structured,"Song of a marsh warbler sex: male. life stage: adult with background sounds from common cuckoo, eurasian blackcap, common nightingale, common pheasant, common starling.",505,998
149,cd8055b7-c454-409a-b847-53fca842a0ed,XC629513-MIXPRE-4304.flac,Xeno-canto,taxonomic-classification,Chordata Aves Passeriformes Paridae Parus major,505,998
150,713a478b-1866-4ec0-9a2a-838d12805843,XC445196-Slaty%20Finch.flac,Xeno-canto,family-detection,Thraupidae,505,998
151,fda78aee-aa4a-4375-be28-331f005d0297,bass_synthetic_096-033-100.wav,NatureLM,nsynth,191.42499446868896,65,113
152,e9bef080-ea2f-4a83-a7f9-6c36320a7b9a,XC439825-BECARD_Ros-thr_c_exc%20Uvalama%20400m%20051018%200619.flac,Xeno-canto,family-detection,None,505,998
153,028bccfe-4580-40cf-9127-7b283908caf5,XC485317-PICCAN%20kaes%20jvk190707.flac,Xeno-canto,species-common-options-classification,Grey-headed Woodpecker,505,998
154,86ca1665-8ebc-441f-87c0-121b189c432a,XC515437-Mirafra_apiata_nom-FL%20song%2035km%20from%20Skittykloof%2022Oct19%207%2C50am%20LS114806b.flac,Xeno-canto,genus-detection,None,505,998
155,d4f3df4e-8485-4e95-95ff-f21f6382abfb,XC397510-Fork-tailed%20Drongo%20exc%20SPCA%20dam.flac,Xeno-canto,genus-classification,Dicrurus,505,998
156,df8cbea6-9ca8-4947-a792-330de6f059e1,XC673485-gul%C3%A4rla%20lock%20ossora%202.flac,Xeno-canto,species-taxonomic-classification-context,Chordata Aves Passeriformes Motacillidae Motacilla tschutschensis,353,694
157,e9a8ef71-3906-45ac-965e-ccbb132caa6f,641050.flac,iNaturalist,species-common-options-classification,Willow Warbler,169,325
158,5cc41868-5483-4ea8-a892-062a57d2d7d0,XC715850-St%C3%B6rre%20korsn%C3%A4bb_120.flac,Xeno-canto,species-sci-classification-context,Loxia pytyopsittacus,505,998
